paleta	orden	color	rgb
1	1	Blue	#4285F4
1	2	Red	#DB4437
1	3	Yellow	#F4B400
1	4	Green	#0F9D58
1	5	Purple	#AB47BC
1	6	Grey	#9E9E9E
2	1	Red	#DB4437
2	2	Blue	#4285F4
2	3	Green	#0F9D58
2	4	Yellow	#F4B400
2	5	Purple	#AB47BC
2	6	Grey	#9E9E9E
3	1	Yellow	#F4B400
3	2	Blue	#4285F4
3	3	Red	#DB4437
3	4	Green	#0F9D58
3	5	Purple	#AB47BC
3	6	Grey	#9E9E9E
4	1	Green	#0F9D58
4	2	Yellow	#F4B400
4	3	Red	#DB4437
4	4	Blue	#4285F4
4	5	Purple	#AB47BC
4	6	Grey	#9E9E9E
5	1	Purple	#AB47BC
5	2	Yellow	#F4B400
5	3	Blue	#4285F4
5	4	Green	#0F9D58
5	5	Red	#DB4437
5	6	Grey	#9E9E9E
6	1	Indigo	#3F51B5
6	2	DeepOrange	#FF5722
6	3	Teal	#009688
6	4	DeepPurple	#673AB7
6	5	Cyan	#00BCD4
6	6	Grey	#9E9E9E
7	1	DeepOrange	#FF5722
7	2	Indigo	#3F51B5
7	3	Teal	#009688
7	4	DeepPurple	#673AB7
7	5	Cyan	#00BCD4
7	6	Grey	#9E9E9E
8	1	Teal	#009688
8	2	Indigo	#3F51B5
8	3	DeepOrange	#FF5722
8	4	DeepPurple	#673AB7
8	5	Cyan	#00BCD4
8	6	Grey	#9E9E9E
9	1	DeepPurple	#673AB7
9	2	Teal	#009688
9	3	DeepOrange	#FF5722
9	4	Indigo	#3F51B5
9	5	Cyan	#00BCD4
9	6	Grey	#9E9E9E
10	1	Cyan	#00BCD4
10	2	Teal	#009688
10	3	Indigo	#3F51B5
10	4	DeepPurple	#673AB7
10	5	DeepOrange	#FF5722
10	6	Grey	#9E9E9E
