palabra	cant
#datafestar	592
#datafest	47
#bigdata	24
#gobiernoabierto	17
#datosabiertos	13
#datospublicos	13
#trndnl	13
#accesoalainfo	12
#refinery	9
#innovacion	8
#pami	8
#panamapapers	8
#aip	7
#aula	7
#vr	7
#ahora	6
#foi	6
#mediaparty	6
#opendata	6
#accesoalai	5
#brexit	5
#d	5
#iot	5
#ott	5
#periscope	5
#transmedia	5
#accesoalainformacion	4
#accesoinfo	4
#desafiocaf	4
#accesoalainfopublica	3
#chicasentecnologia	3
#ocyga	3
#opengov	3
#pumm	3
#abraji	2
#becas	2
#comunidades	2
#data	2
#datadonors	2
#dataf	2
#datafe	2
#datafesta	2
#datospu	2
#github	2
#hhba	2
#ines	2
#kiln	2
#ogpmontevideo	2
#publictableau	2
#sociedadgt	2
#vozdata	2
#a	1
#accesibilidad	1
#accesoalaainformacion	1
#bigdataymedios	1
#canneslions	1
#comunicacion	1
#dat	1
#datamining	1
#designthinking	1
#facha	1
#fan	1
#google	1
#indec	1
#juntosesmejor	1
#lapeluqueria	1
#legibilidad	1
#live	1
#macri	1
#periodismo	1
#realidadvirtual	1
#sabenquetengounpedacitodehistoriaalli	1
#scioli	1
#tea	1
#textanalytics	1
#webgl	1
