Code	Name	lower	median	upper
AL	Alabama	42260	42882	43504
AK	Alaska	68425	70058	71691
AZ	Arizona	47932	48504	49076
AR	Arkansas	39921	40605	41289
CA	California	59931	60185	60439
CO	Colorado	58171	58942	59713
CT	Connecticut	66279	67262	68245
DE	Delaware	56730	58244	59758
DC	District of Columbia	64245	66326	68407
FL	Florida	45714	46021	46328
GA	Georgia	47154	47765	48376
HI	Hawaii	66428	67798	69168
ID	Idaho	45745	46621	47497
IL	Illinois	55814	56212	56610
IN	Indiana	47002	47508	48014
IA	Iowa	51764	52286	52808
KS	Kansas	50299	50892	51485
KY	Kentucky	42676	43307	43938
LA	Louisiana	43412	44234	45056
ME	Maine	46334	47095	47856
MD	Maryland	71789	72482	73175
MA	Massachusetts	66105	66794	67483
MI	Michigan	47825	48200	48575
MN	Minnesota	60237	60664	61091
MS	Mississippi	37229	38191	39153
MO	Missouri	46483	46905	47327
MT	Montana	45853	46893	47933
NE	Nebraska	51017	51502	51987
NV	Nevada	50676	51250	51824
NH	New Hampshire	62869	64064	65259
NJ	New Jersey	69689	70224	70759
NM	New Mexico	43134	44026	44918
NY	New York	56828	57255	57682
NC	North Carolina	45527	45946	46365
ND	North Dakota	55497	56800	58103
OH	Ohio	47736	48138	48540
OK	Oklahoma	45201	45724	46247
OR	Oregon	49708	50228	50748
PA	Pennsylvania	51751	52005	52259
RI	Rhode Island	53478	55015	56552
SC	South Carolina	43669	44310	44951
SD	South Dakota	48195	49200	50205
TN	Tennessee	43776	44268	44760
TX	Texas	51476	51714	51952
UT	Utah	58985	59715	60445
VT	Vermont	51183	52511	53839
VA	Virginia	62101	62745	63389
WA	Washington	57782	58431	59080
WV	West Virginia	40477	41195	41913
WI	Wisconsin	51108	51474	51840
WY	Wyoming	56946	58424	59902
