"date_time";"value"
"2016-05-31 00:20:00";0
"2016-05-31 00:45:00";0
"2016-05-31 01:10:00";0
"2016-05-31 01:35:00";0
"2016-05-31 02:00:00";0
"2016-05-31 02:25:00";0
"2016-05-31 02:50:00";0
"2016-05-31 03:15:00";0
"2016-05-31 03:40:00";0
"2016-05-31 04:05:00";0
"2016-05-31 04:30:00";0
"2016-05-31 04:55:00";0
"2016-05-31 05:20:00";0
"2016-05-31 05:45:00";0
"2016-05-31 06:10:00";0
"2016-05-31 06:35:00";0
"2016-05-31 07:00:00";0
"2016-05-31 07:25:00";0
"2016-05-31 07:50:00";0
"2016-05-31 08:15:00";0
"2016-05-31 08:40:00";0
"2016-05-31 09:05:00";0
"2016-05-31 09:30:00";0
"2016-05-31 09:55:00";0
"2016-05-31 10:20:00";0
"2016-05-31 10:45:00";0
"2016-05-31 11:10:00";0
"2016-05-31 11:35:00";0
"2016-05-31 12:00:00";0
"2016-05-31 12:25:00";0
"2016-05-31 12:50:00";0
"2016-05-31 13:15:00";0
"2016-05-31 13:40:00";0
"2016-05-31 14:05:00";0
"2016-05-31 14:30:00";0
"2016-05-31 14:55:00";0
"2016-05-31 15:20:00";0
"2016-05-31 15:45:00";0
"2016-05-31 16:10:00";0
"2016-05-31 16:35:00";0
"2016-05-31 17:00:00";0
"2016-05-31 17:25:00";0
"2016-05-31 17:50:00";0
"2016-05-31 18:15:00";0
"2016-05-31 18:40:00";0
"2016-05-31 19:05:00";0
"2016-05-31 19:30:00";0
"2016-05-31 19:55:00";0
"2016-05-31 20:20:00";0
"2016-05-31 20:45:00";0
"2016-05-31 21:10:00";0
"2016-05-31 21:35:00";0
"2016-05-31 22:00:00";0
"2016-05-31 22:25:00";0
"2016-05-31 22:50:00";0
"2016-05-31 23:15:00";0
"2016-05-31 23:40:00";0
"2016-06-01 00:05:00";0
"2016-06-01 00:30:00";0
"2016-06-01 00:55:00";0
"2016-06-01 01:20:00";0
"2016-06-01 01:45:00";0
"2016-06-01 02:10:00";0
"2016-06-01 02:35:00";0
"2016-06-01 03:00:00";0
"2016-06-01 03:25:00";0
"2016-06-01 03:50:00";0
"2016-06-01 04:15:00";0
"2016-06-01 04:40:00";0
"2016-06-01 05:05:00";0
"2016-06-01 05:30:00";0
"2016-06-01 05:55:00";0
"2016-06-01 06:20:00";0
"2016-06-01 06:45:00";0
"2016-06-01 07:10:00";0
"2016-06-01 07:35:00";0
"2016-06-01 08:00:00";0
"2016-06-01 08:25:00";0
"2016-06-01 08:50:00";0
